om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
663831,2022,02,22,2022-02-22,02:54:00,3,IL,17,0,0.75,0,0,0,0,41.4900,-90.5200,41.4900,-90.5200,0,0,0,0,0,161,0,0,0
663832,2022,02,22,2022-02-22,03:18:00,3,TX,48,0,1.00,0,0,0,0,33.0700,-97.0400,33.0700,-97.0400,0,0,0,0,0,121,0,0,0
663833,2022,02,22,2022-02-22,03:22:00,3,TX,48,0,1.50,0,0,3000,0,33.1400,-96.9700,33.1400,-96.9700,0,0,0,0,0,121,0,0,0
663834,2022,02,22,2022-02-22,03:24:00,3,TX,48,0,1.00,0,0,0,0,33.1800,-96.9200,33.1800,-96.9200,0,0,0,0,0,121,0,0,0
663835,2022,02,22,2022-02-22,03:25:00,3,TX,48,0,1.00,0,0,0,0,33.1400,-96.9000,33.1400,-96.9000,0,0,0,0,0,121,0,0,0
663836,2022,02,22,2022-02-22,03:25:00,3,TX,48,0,1.75,0,0,25000,0,33.1500,-96.8800,33.1500,-96.8800,0,0,0,0,0,121,0,0,0
663837,2022,02,22,2022-02-22,03:26:00,3,TX,48,0,1.00,0,0,0,0,33.1600,-96.8600,33.1600,-96.8600,0,0,0,0,0,121,0,0,0
663838,2022,02,22,2022-02-22,03:30:00,3,TX,48,0,1.00,0,0,0,0,33.1400,-96.9200,33.1400,-96.9200,0,0,0,0,0,121,0,0,0
663839,2022,02,22,2022-02-22,03:32:00,3,TX,48,0,1.25,0,0,0,0,33.2100,-96.7700,33.2100,-96.7700,0,0,0,0,0,85,0,0,0
663840,2022,02,22,2022-02-22,03:40:00,3,TX,48,0,1.00,0,0,0,0,33.1918,-96.7251,33.1918,-96.7251,0,0,0,0,0,85,0,0,0
663841,2022,02,22,2022-02-22,03:42:00,3,TX,48,0,1.25,0,0,0,0,33.1700,-96.7100,33.1700,-96.7100,0,0,0,0,0,85,0,0,0
663842,2022,02,22,2022-02-22,03:46:00,3,TX,48,0,1.00,0,0,0,0,33.1500,-96.6900,33.1500,-96.6900,0,0,0,0,0,85,0,0,0
663843,2022,02,22,2022-02-22,03:47:00,3,TX,48,0,1.50,0,0,0,0,33.2200,-96.6100,33.2200,-96.6100,0,0,0,0,0,85,0,0,0
663844,2022,02,22,2022-02-22,04:01:00,3,TX,48,0,1.50,0,0,0,0,33.2600,-96.3900,33.2600,-96.3900,0,0,0,0,0,85,0,0,0
663845,2022,02,22,2022-02-22,04:34:00,3,TX,48,0,0.75,0,0,0,0,33.4200,-95.9700,33.4200,-95.9700,0,0,0,0,0,147,0,0,0
663846,2022,02,22,2022-02-22,05:20:00,3,TX,48,0,1.00,0,0,0,0,33.4300,-95.6600,33.4300,-95.6600,0,0,0,0,0,119,0,0,0
663847,2022,02,22,2022-02-22,05:44:00,3,IL,17,0,0.88,0,0,0,0,41.8800,-88.4700,41.8800,-88.4700,0,0,0,0,0,89,0,0,0
663848,2022,02,22,2022-02-22,06:01:00,3,IL,17,0,0.88,0,0,0,0,42.0400,-88.2800,42.0400,-88.2800,0,0,0,0,0,89,0,0,0
663849,2022,02,22,2022-02-22,06:17:00,3,IL,17,0,0.88,0,0,0,0,42.1211,-88.1300,42.1211,-88.1300,0,0,0,0,0,31,0,0,0
663850,2022,02,22,2022-02-22,08:09:00,3,WI,55,0,0.75,0,0,0,0,43.2100,-90.6700,43.2100,-90.6700,0,0,0,0,0,23,0,0,0
663851,2022,02,22,2022-02-22,17:14:00,3,MS,28,0,1.00,0,0,0,0,32.1465,-90.2976,32.1465,-90.2976,0,0,0,0,0,49,0,0,0
663852,2022,02,22,2022-02-22,17:24:00,3,MS,28,0,1.25,0,0,2000,0,32.1600,-90.2000,32.1600,-90.2000,0,0,0,0,0,121,0,0,0
663853,2022,02,22,2022-02-22,17:46:00,3,TN,47,0,1.00,0,0,0,0,35.0945,-87.4500,35.0945,-87.4500,0,0,0,0,0,99,0,0,0
663854,2022,02,22,2022-02-22,17:48:00,3,MS,28,0,1.25,0,0,2000,0,32.2600,-89.9600,32.2600,-89.9600,0,0,0,0,0,121,0,0,0
663855,2022,02,22,2022-02-22,17:51:00,3,MS,28,0,0.88,0,0,0,0,32.3000,-89.9800,32.3000,-89.9800,0,0,0,0,0,121,0,0,0
663856,2022,02,22,2022-02-22,20:18:00,3,AL,01,0,1.00,0,0,0,0,34.9200,-86.5700,34.9200,-86.5700,0,0,0,0,0,89,0,0,0
663857,2022,02,22,2022-02-22,21:43:00,3,AL,01,0,0.88,0,0,0,0,34.6000,-87.0900,34.6000,-87.0900,0,0,0,0,0,103,0,0,0
663858,2022,02,24,2022-02-24,09:53:00,3,MO,29,0,0.75,0,0,0,0,36.6700,-93.9200,36.6700,-93.9200,0,0,0,0,0,9,0,0,0
663859,2022,02,24,2022-02-24,10:30:00,3,MO,29,0,0.75,0,0,0,0,36.5000,-93.2200,36.5000,-93.2200,0,0,0,0,0,213,0,0,0
663860,2022,03,05,2022-03-05,01:57:00,3,KS,20,0,1.00,0,0,0,0,39.5800,-97.6600,39.5800,-97.6600,0,0,0,0,0,29,0,0,0
663861,2022,03,05,2022-03-05,14:06:00,3,IA,19,0,1.00,0,0,0,0,41.9400,-92.9600,41.9400,-92.9600,0,0,0,0,0,127,0,0,0
663862,2022,03,05,2022-03-05,14:12:00,3,MN,27,0,0.75,0,0,0,0,43.6300,-94.9900,43.6300,-94.9900,0,0,0,0,0,63,0,0,0
663863,2022,03,05,2022-03-05,14:45:00,3,MO,29,0,0.88,0,0,0,0,40.5400,-95.3200,40.5400,-95.3200,0,0,0,0,0,5,0,0,0
663864,2022,03,05,2022-03-05,15:15:00,3,IA,19,0,1.00,0,0,0,0,40.8400,-95.1700,40.8400,-95.1700,0,0,0,0,0,145,0,0,0
663865,2022,03,05,2022-03-05,15:27:00,3,IA,19,0,1.25,0,0,0,0,40.9300,-94.8800,40.9300,-94.8800,0,0,0,0,0,3,0,0,0
663866,2022,03,05,2022-03-05,15:30:00,3,MO,29,0,1.00,0,0,0,0,40.3600,-94.8200,40.3600,-94.8200,0,0,0,0,0,147,0,0,0
663867,2022,03,05,2022-03-05,15:54:00,3,IA,19,0,1.50,0,0,0,0,41.2000,-94.4700,41.2000,-94.4700,0,0,0,0,0,1,0,0,0
663868,2022,03,05,2022-03-05,15:55:00,3,IA,19,0,1.75,0,0,0,0,41.0900,-94.5800,41.0900,-94.5800,0,0,0,0,0,3,0,0,0
663869,2022,03,05,2022-03-05,16:06:00,3,IA,19,0,1.00,0,0,0,0,41.2000,-94.4900,41.2000,-94.4900,0,0,0,0,0,1,0,0,0
663870,2022,03,05,2022-03-05,16:07:00,3,IA,19,0,2.75,0,0,0,0,41.1400,-94.4500,41.1400,-94.4500,0,0,0,0,0,175,0,0,0
663871,2022,03,05,2022-03-05,16:08:00,3,IA,19,0,1.75,0,0,0,0,41.1800,-94.4500,41.1800,-94.4500,0,0,0,0,0,1,0,0,0
663872,2022,03,05,2022-03-05,16:12:00,3,IA,19,0,2.75,0,0,0,0,41.2000,-94.4200,41.2000,-94.4200,0,0,0,0,0,1,0,0,0
663873,2022,03,05,2022-03-05,16:12:00,3,IA,19,0,2.00,0,0,0,0,41.2000,-94.4100,41.2000,-94.4100,0,0,0,0,0,1,0,0,0
663874,2022,03,05,2022-03-05,16:12:00,3,IA,19,0,2.00,0,0,0,0,41.2100,-94.4300,41.2100,-94.4300,0,0,0,0,0,1,0,0,0
663875,2022,03,05,2022-03-05,16:13:00,3,IA,19,0,2.50,0,0,0,0,41.2200,-94.3600,41.2200,-94.3600,0,0,0,0,0,1,0,0,0
663876,2022,03,05,2022-03-05,16:16:00,3,MO,29,0,0.88,0,0,0,0,40.2000,-94.4000,40.2000,-94.4000,0,0,0,0,0,75,0,0,0
663877,2022,03,05,2022-03-05,16:30:00,3,MO,29,0,0.88,0,0,0,0,40.2600,-94.3200,40.2600,-94.3200,0,0,0,0,0,75,0,0,0
663878,2022,03,05,2022-03-05,16:49:00,3,IA,19,0,1.00,0,0,0,0,41.4600,-94.1900,41.4600,-94.1900,0,0,0,0,0,121,0,0,0
663879,2022,03,05,2022-03-05,16:57:00,3,MO,29,0,1.50,0,0,0,0,40.4900,-93.7800,40.4900,-93.7800,0,0,0,0,0,81,0,0,0
663880,2022,03,05,2022-03-05,17:01:00,3,WI,55,0,1.00,0,0,0,0,43.2900,-89.7300,43.2900,-89.7300,0,0,0,0,0,111,0,0,0
663881,2022,03,05,2022-03-05,17:14:00,3,MO,29,0,1.00,0,0,0,0,39.9100,-93.9600,39.9100,-93.9600,0,0,0,0,0,61,0,0,0
